data_date,open,high,low,close,adj_close,volume,dividend amt,split coef,ticker
2020-08-12,157.31,160.86,156.89,159.36,158.916281641,1386534,0.0000,1.0,SPY
2020-08-11,158.87,159.475,156.66,156.93,156.493047677,1136692,0.0000,1.0,SPY
2020-08-10,159.33,159.925,157.19,158.09,157.6498178,1393296,0.0000,1.0,SPY
2020-08-07,161.95,161.995,157.41,158.88,158.437618142,1515700,0.0000,1.0,SPY
2020-08-06,158.46,163.98,157.72,161.33,160.880796417,2069138,0.0000,1.0,SPY
2020-08-05,156.0,158.37,155.78,157.72,157.280848019,1599373,0.0000,1.0,SPY
2020-08-04,154.0,155.91,153.1865,155.64,155.206639524,1682267,0.0000,1.0,SPY
2020-08-03,152.19,155.42,151.73,154.51,154.07978587,1902354,0.0000,1.0,SPY
2020-07-31,148.81,151.91,148.47,151.68,151.257665658,2250132,0.0000,1.0,SPY
2020-07-30,146.03,149.49,146.01,149.11,148.694821507,1129348,0.0000,1.0,SPY
2020-07-29,146.38,148.18,146.04,147.59,147.179053761,1059580,0.0000,1.0,SPY
2020-07-28,147.1,147.8,145.72,145.98,145.573536608,2257542,0.0000,1.0,SPY
2020-07-27,144.2,147.075,143.735,146.92,146.510919294,1256777,0.0000,1.0,SPY
2020-07-24,143.71,144.34,141.88,144.22,143.818437112,1214849,0.0000,1.0,SPY
2020-07-23,145.51,147.085,143.63,144.07,143.668854769,1051513,0.0000,1.0,SPY
2020-07-22,145.41,146.1,144.05,145.11,144.705959016,1020882,0.0000,1.0,SPY
2020-07-21,146.5,147.0,144.17,145.01,144.606237454,1659556,0.0000,1.0,SPY
2020-07-20,145.09,146.69,144.32,145.97,145.563564452,1173703,0.0000,1.0,SPY
2020-07-17,143.8,145.28,142.23,144.66,144.257211986,1518069,0.0000,1.0,SPY
2020-07-16,142.6,142.96,141.47,142.94,142.542001115,1046371,0.2000,1.0,SPY
2020-07-15,141.56,143.79,141.04,142.92,142.322920214,2223156,0.0000,1.0,SPY
2020-07-14,138.23,140.61,138.16,140.4,139.813448069,1163343,0.0000,1.0,SPY
2020-07-13,138.46,141.71,138.12,138.31,137.732179504,1569240,0.0000,1.0,SPY
2020-07-10,137.42,137.83,135.62,137.1,136.527234546,1821085,0.0000,1.0,SPY
2020-07-09,138.81,139.56,135.34,137.68,137.104811468,962454,0.0000,1.0,SPY
2020-07-08,138.72,139.69,137.43,138.81,138.230090644,932569,0.0000,1.0,SPY
2020-07-07,138.33,140.56,138.11,138.44,137.861636401,1140329,0.0000,1.0,SPY
2020-07-06,138.57,139.6,137.96,138.6,138.020967965,1297787,0.0000,1.0,SPY
2020-07-02,138.58,139.05,137.37,137.66,137.084895022,1307345,0.0000,1.0,SPY
2020-07-01,137.29,138.97,136.7,137.19,136.616858551,1227511,0.0000,1.0,SPY
2020-06-30,132.1,137.82,132.06,137.04,136.467485209,1878794,0.0000,1.0,SPY
2020-06-29,133.26,133.55,131.28,131.98,131.428624474,2126574,0.0000,1.0,SPY
2020-06-26,135.0,135.75,132.6,132.66,132.105783624,2612825,0.0000,1.0,SPY
2020-06-25,134.17,135.48,131.89,135.31,134.744712665,1141676,0.0000,1.0,SPY
2020-06-24,137.03,137.77,133.56,134.3,133.738932163,1701539,0.0000,1.0,SPY
2020-06-23,138.1,139.05,137.54,138.11,137.533015048,994914,0.0000,1.0,SPY
2020-06-22,136.81,137.45,136.01,136.94,136.367902981,1107819,0.0000,1.0,SPY
2020-06-19,140.05,140.1,136.43,137.4,136.82598123,2316320,0.0000,1.0,SPY
2020-06-18,135.8,137.69,135.54,137.4,136.82598123,1031525,0.0000,1.0,SPY
2020-06-17,136.77,137.55,136.11,136.79,136.218529639,1454992,0.0000,1.0,SPY
2020-06-16,136.89,137.7,134.71,136.24,135.670827385,1919831,0.0000,1.0,SPY
2020-06-15,131.81,133.66,130.41,133.3,132.743109883,2457946,0.0000,1.0,SPY
2020-06-12,134.37,136.21,131.31,134.07,133.509893038,1638510,0.0000,1.0,SPY
2020-06-11,137.67,138.09,130.71,131.06,130.512467976,2523964,0.0000,1.0,SPY
