,ticker,corr w covid change,GICS Sector,GICS Sub-Industry,corr abs
295,MCD,-0.18164833539543426,Consumer Discretionary,Restaurants,0.18164833539543426
296,MCHP,-0.3035289536860267,Information Technology,Semiconductors,0.3035289536860267
297,MCK,-0.12763946249757754,Health Care,Health Care Distributors,0.12763946249757754
298,MCO,-0.20480313453488927,Financials,Financial Exchanges & Data,0.20480313453488927
299,MDLZ,-0.1229039977341348,Consumer Staples,Packaged Foods & Meats,0.1229039977341348
300,MDT,-0.2519857714125839,Health Care,Health Care Equipment,0.2519857714125839
301,MET,-0.2903138544209313,Financials,Life & Health Insurance,0.2903138544209313
302,MGM,-0.3242630093784129,Consumer Discretionary,Casinos & Gaming,0.3242630093784129
303,MHK,-0.1842533772666476,Consumer Discretionary,Home Furnishings,0.1842533772666476
304,MKC,-0.2376758577398624,Consumer Staples,Packaged Foods & Meats,0.2376758577398624
305,MKTX,0.02498224420388844,Financials,Financial Exchanges & Data,0.02498224420388844
306,MLM,-0.1701918409985976,Materials,Construction Materials,0.1701918409985976
307,MMC,-0.17108727758561182,Financials,Insurance Brokers,0.17108727758561182
308,MMM,-0.15969894068722176,Industrials,Industrial Conglomerates,0.15969894068722176
309,MNST,-0.07720761891594871,Consumer Staples,Soft Drinks,0.07720761891594871
310,MO,-0.0314622461876143,Consumer Staples,Tobacco,0.0314622461876143
311,MOS,-0.342662131836578,Materials,Fertilizers & Agricultural Chemicals,0.342662131836578
312,MPC,-0.36663175595962216,Energy,Oil & Gas Refining & Marketing,0.36663175595962216
313,MRK,0.026433185370334344,Health Care,Pharmaceuticals,0.026433185370334344
314,MRO,-0.3615320660182312,Energy,Oil & Gas Exploration & Production,0.3615320660182312
315,MS,-0.35938751436893746,Financials,Investment Banking & Brokerage,0.35938751436893746
316,MSCI,-0.21502094355016016,Financials,Financial Exchanges & Data,0.21502094355016016
317,MSFT,-0.19827569653596192,Information Technology,Systems Software,0.19827569653596192
318,MSI,-0.054480652736102496,Information Technology,Communications Equipment,0.054480652736102496
319,MTB,-0.24823293902941396,Financials,Regional Banks,0.24823293902941396
320,MTD,-0.1077604111547722,Health Care,Life Sciences Tools & Services,0.1077604111547722
321,MU,-0.2356367331920716,Information Technology,Semiconductors,0.2356367331920716
322,MXIM,-0.3207772321910907,Information Technology,Semiconductors,0.3207772321910907
323,NCLH,-0.4211598175219116,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.4211598175219116
324,NDAQ,-0.10360914719220686,Financials,Financial Exchanges & Data,0.10360914719220686
325,NEE,-0.12111739656157082,Utilities,Multi-Utilities,0.12111739656157082
326,NEM,0.14610590653157776,Materials,Gold,0.14610590653157776
327,NFLX,-0.12319175810604638,Communication Services,Movies & Entertainment,0.12319175810604638
328,NI,-0.041391086240530985,Utilities,Multi-Utilities,0.041391086240530985
329,NKE,-0.3032683651663448,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.3032683651663448
330,NLOK,-0.1742459267767862,Information Technology,Application Software,0.1742459267767862
331,NLSN,-0.25369506570387457,Industrials,Research & Consulting Services,0.25369506570387457
332,NOC,-0.1768500133806128,Industrials,Aerospace & Defense,0.1768500133806128
333,NOV,-0.32296522690781904,Energy,Oil & Gas Equipment & Services,0.32296522690781904
334,NOW,-0.31153832129144143,Information Technology,Systems Software,0.31153832129144143
335,NRG,-0.18006235281489816,Utilities,Independent Power Producers & Energy Traders,0.18006235281489816
336,NSC,-0.331402172703974,Industrials,Railroads,0.331402172703974
337,NTAP,-0.29548893838296225,Information Technology,"Technology Hardware, Storage & Peripherals",0.29548893838296225
338,NTRS,-0.2676552451542231,Financials,Asset Management & Custody Banks,0.2676552451542231
339,NUE,-0.21662471142916984,Materials,Steel,0.21662471142916984
340,NVDA,-0.1818606626774196,Information Technology,Semiconductors,0.1818606626774196
341,NVR,-0.13890517380501793,Consumer Discretionary,Homebuilding,0.13890517380501793
342,NWL,-0.31867245214487233,Consumer Discretionary,Housewares & Specialties,0.31867245214487233
343,NWS,-0.2996305249365705,Communication Services,Publishing,0.2996305249365705
344,NWSA,-0.29897230782824324,Communication Services,Publishing,0.29897230782824324
345,O,-0.011761526188250174,Real Estate,Retail REITs,0.011761526188250174
346,ODFL,-0.17387494554822078,Industrials,Trucking,0.17387494554822078
347,OKE,-0.3145910158970065,Energy,Oil & Gas Storage & Transportation,0.3145910158970065
348,OMC,-0.1693888455360774,Communication Services,Advertising,0.1693888455360774
349,ORCL,-0.2256197386766065,Information Technology,Application Software,0.2256197386766065
350,ORLY,-0.1208749847973227,Consumer Discretionary,Specialty Stores,0.1208749847973227
351,OTIS,-0.08836384981521138,Industrials,Industrial Machinery,0.08836384981521138
352,OXY,-0.2795038337875543,Energy,Oil & Gas Exploration & Production,0.2795038337875543
353,PAYC,-0.2523492230274138,Information Technology,Application Software,0.2523492230274138
354,PAYX,-0.1779647080382973,Information Technology,Data Processing & Outsourced Services,0.1779647080382973
355,PBCT,-0.07454226169619632,Financials,Thrifts & Mortgage Finance,0.07454226169619632
356,PCAR,-0.16774578096349124,Industrials,Construction Machinery & Heavy Trucks,0.16774578096349124
357,PEAK,-0.08005100983484842,Real Estate,Health Care REITs,0.08005100983484842
358,PEG,-0.11464468174376224,Utilities,Electric Utilities,0.11464468174376224
359,PEP,-0.09384843310449696,Consumer Staples,Soft Drinks,0.09384843310449696
360,PFE,-0.09780679575472494,Health Care,Pharmaceuticals,0.09780679575472494
361,PFG,-0.22565486551766384,Financials,Life & Health Insurance,0.22565486551766384
362,PG,-0.003031067342273858,Consumer Staples,Personal Products,0.003031067342273858
363,PGR,0.006413545824925824,Financials,Property & Casualty Insurance,0.006413545824925824
364,PH,-0.30513109336308475,Industrials,Industrial Machinery,0.30513109336308475
365,PHM,-0.1734596710783279,Consumer Discretionary,Homebuilding,0.1734596710783279
366,PKG,-0.08309339333334441,Materials,Paper Packaging,0.08309339333334441
367,PKI,-0.3680735182035683,Health Care,Health Care Equipment,0.3680735182035683
368,PLD,-0.11313002773406952,Real Estate,Industrial REITs,0.11313002773406952
369,PM,-0.03935979096975581,Consumer Staples,Tobacco,0.03935979096975581
370,PNC,-0.2752805084349948,Financials,Regional Banks,0.2752805084349948
371,PNW,0.0013995901221992642,Utilities,Multi-Utilities,0.0013995901221992642
372,POOL,-0.12218037908821912,Consumer Discretionary,Distributors,0.12218037908821912
373,PPG,-0.2291619296543211,Materials,Specialty Chemicals,0.2291619296543211
374,PPL,-0.0924498480607377,Utilities,Electric Utilities,0.0924498480607377
375,PRGO,-0.031521467377845135,Health Care,Pharmaceuticals,0.031521467377845135
376,PRU,-0.3068505626934641,Financials,Life & Health Insurance,0.3068505626934641
377,PSA,-0.04017767217455826,Real Estate,Specialized REITs,0.04017767217455826
